city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Krefeld,DE,Clear,clear sky,01d,283.65,282.37,281.12,285.36,1002.0,62.0,4.12,360.0,0.0,1648661938.0,1648617241.0,1648663332.0,7200.0,Krefeld
Mainz,DE,Clouds,overcast clouds,04d,283.66,282.36,282.25,284.43,999.0,61.0,4.12,90.0,100.0,1648662187.0,1648616895.0,1648662862.0,7200.0,Mainz
Lubeck,DE,Clouds,scattered clouds,03d,278.25,275.37,276.99,279.46,1004.0,72.0,3.6,80.0,40.0,1648662187.0,1648616126.0,1648662470.0,7200.0,Lübeck
Erfurt,DE,Clear,clear sky,01d,278.26,275.38,277.25,280.19,1001.0,82.0,3.6,120.0,0.0,1648662188.0,1648616188.0,1648662243.0,7200.0,Erfurt
Oberhausen,DE,Clouds,overcast clouds,04d,283.21,281.89,281.11,284.85,1004.0,62.0,0.45,270.0,99.0,1648662188.0,1648617166.0,1648663270.0,7200.0,Oberhausen
Rostock,DE,Clouds,overcast clouds,04n,277.03,272.1,276.27,277.54,1007.0,67.0,7.34,87.0,97.0,1648662189.0,1648615768.0,1648662134.0,7200.0,Rostock
Kassel,DE,Clouds,scattered clouds,03d,282.3,280.59,279.43,282.79,1001.0,49.0,3.09,80.0,40.0,1648662189.0,1648616539.0,1648662627.0,7200.0,Kassel
Hagen,DE,Clouds,overcast clouds,04d,281.76,281.76,280.6,283.64,1001.0,66.0,0.89,49.0,100.0,1648662190.0,1648617022.0,1648663115.0,7200.0,Hagen
Potsdam,DE,Clouds,overcast clouds,04n,279.99,277.78,278.23,281.67,1003.0,65.0,3.13,31.0,100.0,1648662190.0,1648615632.0,1648661822.0,7200.0,Potsdam
Saarbrucken,DE,Clouds,broken clouds,04d,282.54,281.58,280.97,283.4,1000.0,78.0,2.06,90.0,75.0,1648662191.0,1648617232.0,1648663133.0,7200.0,Saarbrücken
Hamm,DE,Clouds,overcast clouds,04d,281.4,278.79,280.85,282.83,1003.0,70.0,4.45,39.0,100.0,1648662191.0,1648616925.0,1648663048.0,7200.0,Kreisfreie Stadt Hamm
Ludwigshafen,DE,Clouds,broken clouds,04d,283.15,281.34,282.07,283.76,999.0,75.0,3.6,20.0,75.0,1648662089.0,1648616877.0,1648662799.0,7200.0,Ludwigshafen am Rhein
Mulheim,DE,Clouds,few clouds,02d,283.17,281.72,281.04,284.78,1003.0,57.0,4.12,30.0,20.0,1648662192.0,1648617161.0,1648663261.0,7200.0,Mülheim
Oldenburg,DE,Clouds,overcast clouds,04d,279.23,278.54,278.66,279.32,1005.0,72.0,1.34,355.0,100.0,1648662193.0,1648616757.0,1648663026.0,7200.0,Oldenburg
Osnabruck,DE,Clouds,overcast clouds,04d,279.79,277.17,278.46,280.82,1003.0,72.0,3.73,45.0,100.0,1648662193.0,1648616841.0,1648663023.0,7200.0,Osnabrück
Leverkusen,DE,Clouds,overcast clouds,04d,284.29,282.84,282.39,285.39,1001.0,53.0,4.19,41.0,99.0,1648662194.0,1648617155.0,1648663218.0,7200.0,Leverkusen
