city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Stolberg,DE,Clouds,overcast clouds,04d,277.65,275.76,275.48,278.98,999,92,2.17,342,100,1648716713,1648703613,1648749882,7200,Stolberg
Eschweiler,DE,Rain,light rain,10d,278.26,276.74,275.82,279.44,999,92,1.91,343,100,1648716923,1648703599,1648749873,7200,Eschweiler
Langenhagen,DE,Clouds,few clouds,02d,277.92,273.3,276.96,279.4,1002,72,7.2,100,20,1648716923,1648702685,1648749127,7200,Region Hannover
Meerbusch,DE,Clouds,broken clouds,04d,279.83,278.26,276.92,281.51,997,90,2.24,45,75,1648716923,1648703484,1648749804,7200,Strümp
Waiblingen,DE,Clouds,broken clouds,04d,280.06,280.06,279.02,281.35,996,86,1.03,0,75,1648716924,1648702968,1648749048,7200,Waiblingen
Gorlitz,DE,Clouds,overcast clouds,04d,274.19,270.13,273.85,277.1,1001,91,4.02,68,100,1648716924,1648701496,1648747799,7200,Görlitz
Baden-Baden,DE,Mist,mist,50d,278.84,275.53,277.9,281.4,996,89,4.63,20,100,1648716924,1648703229,1648749303,7200,Baden-Baden
Schweinfurt,DE,Clouds,overcast clouds,04d,279.04,276.17,277.84,279.15,998,74,3.88,66,100,1648716908,1648702690,1648748886,7200,Schweinfurt
Hattingen,DE,Clouds,overcast clouds,04d,278.82,278.07,277.43,280.53,997,79,1.34,90,100,1648716925,1648703353,1648749686,7200,Hattingen
Bad Homburg,DE,Clouds,overcast clouds,04d,278.58,276.27,277.78,281.18,998,78,2.86,66,100,1648716925,1648703070,1648749284,7200,Bad Homburg
Pulheim,DE,Clouds,overcast clouds,04d,279.48,279.48,278.06,280.88,998,86,0.45,84,100,1648716926,1648703466,1648749758,7200,Pulheim
Lingen,DE,Clouds,overcast clouds,04d,276.23,272.71,275.15,277.2,1000,67,3.9,103,100,1648716926,1648703261,1648749714,7200,Lingen
Bad Salzuflen,DE,Clouds,overcast clouds,04d,278.43,274.78,277.88,279.21,1001,78,5.13,116,100,1648716926,1648702941,1648749346,7200,Bad Salzuflen
Nordhorn,DE,Clouds,overcast clouds,04d,276.66,273.57,275.14,277.19,1000,95,3.4,91,100,1648716927,1648703326,1648749769,7200,Nordhorn
Wetzlar,DE,Clouds,overcast clouds,04d,278.79,276.72,276.84,279.79,999,79,2.61,64,100,1648716927,1648703080,1648749328,7200,Wetzlar
Frechen,DE,Clouds,overcast clouds,04d,279.28,278.34,277.94,280.77,998,86,1.54,70,100,1648716777,1648703466,1648749750,7200,Frechen
Neustadt,DE,Clouds,overcast clouds,04d,279.87,278.18,278.53,280.8,998,66,2.39,47,100,1648716927,1648703213,1648749342,7200,Neustadt
Passau,DE,Clouds,overcast clouds,04d,281.53,280.44,280.53,282.75,994,92,2.02,72,100,1648716928,1648701985,1648748039,7200,Passau
Ahlen,DE,Clouds,overcast clouds,04d,278.6,275.27,277.57,279.31,1000,78,4.54,109,100,1648716928,1648703165,1648749535,7200,Ahlen
Wolfenbuttel,DE,Clouds,overcast clouds,04d,276.72,272.89,275.95,279.09,1000,61,4.63,90,100,1648716928,1648702509,1648748921,7200,Wolfenbüttel
Ibbenburen,DE,Clouds,broken clouds,04d,277.67,276.5,276.2,278.68,1000,87,1.54,70,75,1648716929,1648703179,1648749605,7200,Ibbenbueren
Kleve,DE,Clouds,overcast clouds,04d,275.15,271.19,274.18,277.07,1000,87,4.21,358,100,1648716929,1648703583,1648749958,7200,Kleve
Bad Kreuznach,DE,Clouds,overcast clouds,04d,279.58,277.14,278.65,280.92,998,81,3.36,76,100,1648716929,1648703267,1648749444,7200,Bad Kreuznach
Speyer,DE,Clouds,broken clouds,04d,279.72,279.72,278.63,280.81,997,76,1.03,0,75,1648716930,1648703157,1648749284,7200,Speyer
Boblingen,DE,Clouds,broken clouds,04d,278.47,278.47,277.73,280.53,996,93,1.03,0,75,1648716930,1648703050,1648749117,7200,Böblingen
Willich,DE,Mist,mist,50d,279.6,277.99,275.07,281.47,997,91,2.24,45,100,1648716930,1648703512,1648749832,7200,Willich
Gummersbach,DE,Clouds,overcast clouds,04d,277.22,274.48,275.78,278.66,999,82,3.08,111,100,1648716931,1648703280,1648749575,7200,Gummersbach
Ravensburg,DE,Clouds,overcast clouds,04d,282.03,281.48,280.48,282.91,995,87,1.54,200,100,1648716931,1648702945,1648748930,7200,Ravensburg
Goslar,DE,Clouds,overcast clouds,04d,275.9,271.81,274.72,278.47,1002,76,4.74,93,100,1648716931,1648702549,1648748933,7200,Goslar
