,airport_id,icao,type,name,latitude,longitude,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata,local_code,home_link,wikipedia_link,keywords,municipality_country
29,2246,EDLV,medium_airport,Weeze Airport,51.6024017334,6.14216995239,106.0,EU,DE,DE-NW,Weeze,yes,EDLV,NRN,-,http://www.airport-weeze.de/de,https://en.wikipedia.org/wiki/Airport_Weeze,"LRC, ETUL, Niederrhein Airport, RAF Laarbruch, Düsseldorf Regional","Weeze,DE"
30,2247,EDLW,large_airport,Dortmund Airport,51.51829910279999,7.61223983765,425.0,EU,DE,DE-NW,Dortmund,yes,EDLW,DTM,-,-,https://en.wikipedia.org/wiki/Dortmund_Airport,-,"Dortmund,DE"
31,2248,EDMA,medium_airport,Augsburg Airport,48.425278,10.931667,1516.0,EU,DE,DE-BY,Augsburg,no,EDMA,AGB,-,https://www.augsburg-airport.de/,https://en.wikipedia.org/wiki/Augsburg_Airport,-,"Augsburg,DE"
32,2252,EDMO,medium_airport,Oberpfaffenhofen Airport,48.081402,11.2831,1947.0,EU,DE,DE-BY,Weßling,no,EDMO,OBF,-,http://www.edmo-airport.de,-,Weßling,"Weßling,DE"
33,2256,EDNY,medium_airport,Friedrichshafen Airport,47.6712989807,9.51148986816,1367.0,EU,DE,DE-BW,Friedrichshafen,yes,EDNY,FDH,-,-,https://en.wikipedia.org/wiki/Friedrichshafen_Airport,-,"Friedrichshafen,DE"
34,2258,EDOP,medium_airport,Schwerin Parchim Airport,53.426998,11.7834,166.0,EU,DE,DE-MV,-,no,EDOP,SZW,-,-,https://en.wikipedia.org/wiki/Parchim_International_Airport,-,-
35,2261,EDQD,medium_airport,Bayreuth Airport,49.985001,11.64,1601.0,EU,DE,DE-BY,Bayreuth,no,EDQD,BYU,-,-,https://en.wikipedia.org/wiki/Bindlacher_Berg_Airport,Bindlacher Berg Airport,"Bayreuth,DE"
36,2263,EDQM,medium_airport,Hof-Plauen Airport,50.288612,11.856389,1959.0,EU,DE,DE-BY,Hof,no,EDQM,HOQ,-,-,https://en.wikipedia.org/wiki/Hof-Plauen_Airport,-,"Hof,DE"
37,2270,EDSB,large_airport,Karlsruhe Baden-Baden Airport,48.7793998718,8.08049964905,408.0,EU,DE,DE-BW,Baden-Baden,yes,EDSB,FKB,-,http://www.baden-airpark.de/startseite.html,https://en.wikipedia.org/wiki/Baden_Airpark,Baden Airpark,"Baden-Baden,DE"
38,2276,EDTL,medium_airport,Lahr Airport,48.3693008423,7.82772016525,511.0,EU,DE,DE-BW,-,no,EDTL,LHA,-,http://airport-lahr.de/,https://en.wikipedia.org/wiki/CFB_Lahr,Black Forest Airport,-
39,2284,EDVE,medium_airport,Braunschweig-Wolfsburg Airport,52.319199,10.5561,295.0,EU,DE,DE-NI,Braunschweig,no,EDVE,BWE,-,http://www.flughafen-braunschweig-wolfsburg.de/,https://en.wikipedia.org/wiki/Braunschweig_Airport,-,"Braunschweig,DE"
40,2285,EDVK,medium_airport,Kassel-Calden Airport,51.417273,9.384967,820.0,EU,DE,DE-HE,Kassel,yes,EDVK,KSF,-,http://www.flughafenkassel.de/,https://en.wikipedia.org/wiki/Kassel_Calden_Airport,-,"Kassel,DE"
41,2296,EDXW,medium_airport,Westerland Sylt Airport,54.9132003784,8.34047031403,51.0,EU,DE,DE-SH,Westerland,yes,EDXW,GWT,-,-,https://en.wikipedia.org/wiki/Sylt_Airport,-,"Westerland,DE"
42,2717,ETAD,medium_airport,Spangdahlem Air Base,49.9726982117,6.69250011444,1197.0,EU,DE,DE-RP,Trier,no,ETAD,SPM,-,http://www.spangdahlem.af.mil/,https://en.wikipedia.org/wiki/Spangdahlem_Air_Base,-,"Trier,DE"
43,2718,ETAR,medium_airport,Ramstein Air Base,49.436901,7.60028,776.0,EU,DE,DE-RP,Ramstein,no,ETAR,RMS,-,http://www.ramstein.af.mil/,https://en.wikipedia.org/wiki/Ramstein_Air_Base,Landstuhl Air Base,"Ramstein,DE"
44,2724,ETHF,medium_airport,Fritzlar Army Airfield,51.1146,9.286,1345.0,EU,DE,DE-HE,Fritzlar,no,ETHF,FRZ,-,-,-,Heeresflugplatz Fritzlar,"Fritzlar,DE"
45,2734,ETMN,medium_airport,Nordholz Naval Airbase,53.7677001953,8.658499717709999,74.0,EU,DE,DE-NI,Cuxhaven,no,ETMN,FCN,-,-,https://en.wikipedia.org/wiki/Nordholz_Naval_Airbase,Fliegerhorst Nordholz,"Cuxhaven,DE"
46,2736,ETNG,medium_airport,Geilenkirchen Air Base,50.9608,6.04242,296.0,EU,DE,DE-NW,-,no,ETNG,GKE,-,-,-,-,-
47,2739,ETNL,medium_airport,Rostock-Laage Airport,53.9182014465,12.2783002853,138.0,EU,DE,DE-MV,Rostock,yes,ETNL,RLG,-,-,https://en.wikipedia.org/wiki/Rostock-Laage_Airport,-,"Rostock,DE"
48,2741,ETNS,medium_airport,Schleswig Air Base,54.459301,9.51633,70.0,EU,DE,DE-SH,Jagel,no,ETNS,WBG,-,-,-,-,"Jagel,DE"
49,2747,ETOU,medium_airport,Wiesbaden Army Airfield,50.049800872802734,8.325400352478027,461.0,EU,DE,DE-HE,Wiesbaden,no,ETOU,WIE,-,-,https://en.wikipedia.org/wiki/Wiesbaden_Army_Airfield,-,"Wiesbaden,DE"
50,2753,ETSI,medium_airport,Ingolstadt Manching Airport,48.7156982421875,11.534000396728516,1202.0,EU,DE,DE-BY,Manching,no,ETSI,IGS,-,-,https://en.wikipedia.org/wiki/Ingolstadt_Manching_Airport,-,"Manching,DE"
