city_id,city_name,city_state,city_country,longitude,latitude,municipality_country
2803882.0,Zornheim,,DE,8.22472,49.889999,"Zornheim,DE"
2803884.0,Zorneding,,DE,11.82446,48.084332,"Zorneding,DE"
2803887.0,Zorn,,DE,7.91667,50.166672,"Zorn,DE"
2803889.0,Zorge,,DE,10.63333,51.633331,"Zorge,DE"
2803890.0,Zörbitz,,DE,12.03333,51.200001,"Zörbitz,DE"
2803891.0,Zörbig,,DE,12.11667,51.633331,"Zörbig,DE"
2803892.0,Zorbau,,DE,12.01667,51.200001,"Zorbau,DE"
2803893.0,Zopten,,DE,11.36667,50.533329,"Zopten,DE"
2803897.0,Zoppaten,,DE,11.7,50.01667,"Zoppaten,DE"
2803908.0,Zons,,DE,6.85,51.116669,"Zons,DE"
2803917.0,Zöllnitz,,DE,11.63333,50.866669,"Zöllnitz,DE"
2803923.0,Zolling,,DE,11.76667,48.450001,"Zolling,DE"
2803929.0,Zollhaus,,DE,8.06667,50.283329,"Zollhaus,DE"
2803953.0,Zölkow,,DE,11.8206,53.563251,"Zölkow,DE"
2803964.0,Zodel,,DE,15.01076,51.23914,"Zodel,DE"
2803972.0,Zöblitz,,DE,13.23333,50.650002,"Zöblitz,DE"
2803979.0,Zöberitz,,DE,12.03333,51.51667,"Zöberitz,DE"
2803983.0,Zobbenitz,,DE,11.36667,52.400002,"Zobbenitz,DE"
2803984.0,Zizishausen,,DE,9.34825,48.64119,"Zizishausen,DE"
2803994.0,Zittow,,DE,11.52766,53.677799,"Zittow,DE"
2804008.0,Zittau,,DE,14.83333,50.900002,"Zittau,DE"
2804009.0,Ziswingen,,DE,10.58704,48.78606,"Ziswingen,DE"
2804018.0,Zislow,,DE,12.3131,53.43214,"Zislow,DE"
2804022.0,Zirzow,,DE,13.2,53.583328,"Zirzow,DE"
2804034.0,Zirndorf,,DE,10.95414,49.442402,"Zirndorf,DE"
2804041.0,Zirkow,,DE,13.55,54.383331,"Zirkow,DE"
2804051.0,Zirchow,,DE,14.13333,53.883331,"Zirchow,DE"
2804073.0,Zipkeleben,,DE,11.71667,52.099998,"Zipkeleben,DE"
2804089.0,Zinzenzell,,DE,12.58333,49.083328,"Zinzenzell,DE"
2804091.0,Zintlhammer,,DE,11.91667,49.76667,"Zintlhammer,DE"
2804093.0,Zinst,,DE,11.93333,49.900002,"Zinst,DE"
2804107.0,Zinnwald-Georgenfeld,,DE,13.76553,50.73708,"Zinnwald-Georgenfeld,DE"
2804109.0,Ostseebad Zinnowitz,,DE,13.9,54.066669,"Ostseebad Zinnowitz,DE"
2804114.0,Zinndorf,,DE,13.91667,52.5,"Zinndorf,DE"
2804121.0,Zinna,,DE,12.95,51.566669,"Zinna,DE"
2804133.0,Zinhain,,DE,7.92775,50.643848,"Zinhain,DE"
2804135.0,Zingst,,DE,12.68333,54.433331,"Zingst,DE"
2804138.0,Zingsheim,,DE,6.65,50.51667,"Zingsheim,DE"
2804144.0,Zimpel,,DE,14.61667,51.333328,"Zimpel,DE"
2804154.0,Zimmersdorf,,DE,10.48333,49.166672,"Zimmersdorf,DE"
2804155.0,Zimmerschied,,DE,7.78333,50.349998,"Zimmerschied,DE"
2804157.0,Zimmern unter der Burg,,DE,8.71928,48.220531,"Zimmern unter der Burg,DE"
2804158.0,Zimmernsupra,,DE,10.86667,50.98333,"Zimmernsupra,DE"
2804159.0,Zimmern ob Rottweil,,DE,8.59436,48.166599,"Zimmern ob Rottweil,DE"
2804161.0,Zimmern,,DE,11.63333,51.0,"Zimmern,DE"
